,Comments_lem
17030,catastrophique deux mois aprés avoir utilisé service re turn rendre servife a autres membres loupé article voila a batailler recuperer argent centaines mail heures passé telephone service client seul mot ordre patienter deux mois argent bloqué cagnotte re turn personne semble vouloir débloquer excuse excuse fait trainer ballade perds temp fou rappelons a fallu imprimer broderau a frais emballer colis a frais deposer point relais a frais remerciement plus deux mois attente etre payée moment parle terminé attends encore deja fois cette semaine ligne oui madame demande prioritaire cela va etre rapide deja deux mois alors si rapide maintenant peut etre encore deux mois plus pourtant etais tres tres bonne cliente veepee terminé envisage porter plainte surtout plus jamais commander cette plateforme voleurs
17031,mauvaise commande reçu après plus mois attente première fois cela produit équipes préparateur doivent être daltoniens entièrement dénuées sen observation éviter commander si souhaitez embarquer échanges sans fin récupérer déplacer sans arrêt réexpédier mauvaise commandes reçues
17032,loin pire site sav marché commande table tomasucci dont frais port livraison hors délai après mois demi pieds arrivés fissurés solution dédommagement aucun intérêt car table sans pieds renvoyer article choisissons remboursement le transporteur doit venir délai jours ouvrés viendront après plusieurs relance sav appel responsable faire avancer choses jours ouvrés veepee demande preuve renvoi accélérer processus remboursement jour après mail semaine demie aucun retour quand appeler sav disent ah désolé accès mail peut répondre service compris intérêt faire travailler argent compte passage dissuader client faire rembourser roule or peux permettre attendre mois entre commande remboursement autant dû acheter nouvelle table car ancienne vendue avant réception conclusion fuyez
17033,site j ai payé téléphone forfait n ai jamais reçu aucun moyen joindre erreur avoir lu avis avant commander sinon n aurais jamais commander surtout quand a plus d avis négatifs grand conseil fuyer faite passer message jamais commander site
17034,attention arnaque slip commandés vp retour d un n utilise étiquette prépayée e je paie e frais port vp a quand déduit fdp remboursement donc bien vérifier remboursements utiliser étiquette arnaque quant ème slip vente return impossibilité récupérer somme ieme arnaque
17035,c est pire site vente ligne monde j ai commandé fois chez a chaque fois trouvent moyen voler frais retours pratiquement équivalent prix l article acheté bien envoi prennent mois produit commandé n est toujours bon dernière commande j ai commandé paires chaussure montante a euro m ont envoyé paires sandales bref service client a faire pures voleurs amazon asos n ont vraiment souci a faire face a voleurs première s en contre fiche leurs client p j ai mi étoile car j avais choix laisser avis si possibilité j aurais mi voir moins bande voleur
17036,bonjour juste avant d acheter vp bien vérifier prix pratiqués ailleurs surtout opé market place ex vente kerastase trouve produits prix voire moins site classiques para autres shampoo bain satin n origines parfums er vp quelle honte donc tromperie avérée cordialement frédérique
17037,commandé canapé angle fauteuil attendu plus mois canapé arrivé sans outillerie montage aores jours jours réclamations veepee répond rendez canapé debrouillez trouvez visserie le fauteuil a jamais livré veepee affirme contraire dû demander enquête appelé société livraison a confirmé non livraison lais ceka a suffit veepee passé jours jours appeler fait déclaration honneur de mois attente semaines demarche réclamations aucun respect aucun geste commercial part achat important aimé avoir plus respect professionnalisme
17038,vérifiez systématiquement réductions annoncées elles souvent très largement surévaluées vue délais livraisons très longs faut parfois mieux commander autres site vue réductions mineures final beaucoup produits dernièrement radiateur vendu lieu annoncé prix public alors min trouvez produit net autres site sans compter marque reviennent sans arrêt toujours mêmes produits a sen site a perdu intérêt
17039,j ai passé commande veepee décembre j ai bien reçu commande satellite d un montant euro collier bracelet défectueux niveau pierre j ai retourné commande tous produits demandant remboursement l achat s est effectué plusieurs fois oney j ai payé montants euro a jour oney a remboursé seulement euro malgré relances excédée j ai contacté veepee a indiqué avoir fait demande d annulation demande contacter service facilpay n est normal veepee dédouane responsabilités invite plus commander notation avis page jaunes cela dit long j aurai dû arrêter commander lorsque j ai commencé recevoir produits défectueux pantalon déchiré qu une personne mi coup cutter produit a conditionné cette manière impossible voir collier pierre tombé m ont fait geste commercial euro prochaine commande cliente longue date depuis plus an laisse tomber j attends problème règle puis clôturerai compte bye veepee
17040,dommage zero possible fuyez ramassis d escrocs au moment où terminez phrase commande vient passer statut cours préparation empêcher l annuler alors colis vient d être expédié trop débile trouver mail l annonce tout ceci faire trésorerie do s assoir droit consommation voyons répression fraudes pensera
17041,bonjour tous déconseille acheter ligne veepee voici histoire acheté radiateurs électriques marque carrera radiateurs reçu cassé e mail tout abord fournisseur réponse jours après demander photo ça traîne depuis chaque fois faut attendre jours ouvrés réponse très déçu achèterai plus site suivi dossier carrera minable livraison arrivée retard tnt voici expérience
17042,e return anarque l argent mi cagnotte impossible faire rembourser
17043,possible mettre étoile j achète depuis longtemps veepee aujourd hui souhaite renvoyer produit n avez choix faut mettre plateforme return payez renvoyer frais très déçu sav c est arnaque recommanderai plus chez
